Thời gian cào:    Thu Oct 02 2025 22:18:09 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@nguoilinhyeue/video/7433601731851783441
Người đăng:          CBĐ👮‍♂️🎖️
Tag người đăng:      nguoilinhyeue
URL người đăng:      https://www.tiktok.com/@nguoilinhyeue
Thời gian đăng:      5-11-2024
Số lượt tym:         129
Số lượt comment:     9
Số lượt lưu:         10
Số lượt share:       1
Mô tả của bài đăng:  "thêm
Có lẽ đây là ngôi trường khó vào nhất:v#truongsiquankhongquan #quandoinhandanvietnam #khongquannhandanvietnam #xh #xuhuongtiktok #fybシviral"
Số bình luận cấp 1:  7
Số bình luận cấp 2:  1
Tổng số bình luận thực tế đã load:  8
Số bình luận TikTok hiển thị:       9
Chênh lệch số bình luận:            1
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
1,"Toramaru","Toramaru",https://www.tiktok.com/@Toramaru,"Trường này xét rất nhiều tiêu chí khắc khe",5-11-2024,1,No,---,6
2,"boi đập phá ghét ăn cá👾","boi đập phá ghét ăn cá👾",https://www.tiktok.com/@boi đập phá ghét ăn cá👾,"tui qua 2 vòng khám tuyển phi công rồi giờ cần thi thptqg 2025 nữa là vô",6-11-2024,0,Yes,"nv1_hqh?lang=vi-VN",0
3,"CBĐ👮‍♂️🎖️","CBĐ👮‍♂️🎖️",https://www.tiktok.com/@CBĐ👮‍♂️🎖️,"Ô tưởng thi xong ms khám tuyển chứ:v",6-11-2024,0,Yes,"nv1_hqh?lang=vi-VN",0
4,"boi đập phá ghét ăn cá👾","boi đập phá ghét ăn cá👾",https://www.tiktok.com/@boi đập phá ghét ăn cá👾,"riêng phi công quân sự khám xong đạt rồi mới thi",6-11-2024,1,Yes,"nv1_hqh?lang=vi-VN",0
5,"CBĐ👮‍♂️🎖️","CBĐ👮‍♂️🎖️",https://www.tiktok.com/@CBĐ👮‍♂️🎖️,"Chúc mừng bn nh",6-11-2024,1,Yes,"nv1_hqh?lang=vi-VN",0
6,"Nguyễn Hoàng Phúc","Nguyễn Hoàng Phúc",https://www.tiktok.com/@Nguyễn Hoàng Phúc,"Bạn khám ở HN rồi à",7-11-2024,0,Yes,"nv1_hqh?lang=vi-VN",0
7,"Trần Minh Đạt 🪖🫡","Trần Minh Đạt 🪖🫡",https://www.tiktok.com/@Trần Minh Đạt 🪖🫡,"anh tui đang làm trong đó á",5-11-2024,1,Yes,"nv1_hqh?lang=vi-VN",0
8,"Mạnh Tùng","Mạnh Tùng",https://www.tiktok.com/@Mạnh Tùng,"Đẹp",15-11-2024,1,No,---,0
