Thời gian cào:    Thu Oct 02 2025 22:22:24 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@hvkhaivit.votri/video/7514703596701764882
Người đăng:          khảiVT🇨🇳
Tag người đăng:      hvkhaivit.votri
URL người đăng:      https://www.tiktok.com/@hvkhaivit.votri
Thời gian đăng:      11-6-2025
Số lượt tym:         69
Số lượt comment:     2
Số lượt lưu:         4
Số lượt share:       2
Mô tả của bài đăng:  "đại học khó vô nhất thế giới nhưng mik thì ko vào đc#trungquoc#daihoc#suhuongtiktok"
Số bình luận cấp 1:  2
Số bình luận cấp 2:  2
Tổng số bình luận thực tế đã load:  4
Số bình luận TikTok hiển thị:       2
Chênh lệch số bình luận:            2
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
1,"ebe buồn.☹️","ebe buồn.☹️",https://www.tiktok.com/@ebe buồn.☹️,"một ước mơ nho nhỏ",12-6-2025,0,No,---,1
2,"khảiVT🇨🇳","khảiVT🇨🇳",https://www.tiktok.com/@khảiVT🇨🇳,"ưm",12-6-2025,1,Yes,"thp.cm.loi.2012?lang=vi-VN",0
3,"🍿","🍿",https://www.tiktok.com/@🍿,"ảo tưởng à?",12-6-2025,0,No,---,1
4,"khảiVT🇨🇳","khảiVT🇨🇳",https://www.tiktok.com/@khảiVT🇨🇳,":chưa thì chưa biết nhà bạn bạn tép cái du duyên của bạn đi chưa thi mà nói[sulk]",12-6-2025,1,Yes,"anhkiet118?lang=vi-VN",0
