Thời gian cào:    Fri Nov 07 2025 14:09:34 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@hoanggleee/video/7386865350735875344
Người đăng:          Hoangglee
Tag người đăng:      @hoanggleee
URL người đăng:      https://www.tiktok.com/@hoanggleee
Thời gian đăng:      2-7-2024
Số lượt tym:         26.5K
Số lượt comment:     317
Số lượt lưu:         499
Số lượt share:       N/A
Mô tả của bài đăng:  "Học phí ở NEU đắt không? #fyp #xuhuong #learnontiktok #hoccungtiktok #daihoc #neu. ẩn bớt"
Số bình luận cấp 1:  199
Số bình luận cấp 2:  23
Tổng số bình luận thực tế đã load:  222
Số bình luận TikTok hiển thị:       317
Chênh lệch số bình luận:            95
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
136,"Vũ Tú Vũ","Vũ Tú Vũ",https://www.tiktok.com/@Vũ Tú Vũ,"Xs quá ned 🌟",8-8-2024,0,No,---,0
137,"Vũ Thuy Nguyệt","Vũ Thuy Nguyệt",https://www.tiktok.com/@Vũ Thuy Nguyệt,"Xinh 😍",8-10-2024,0,No,---,0
138,"Đỗ Thanh Diệp","Đỗ Thanh Diệp",https://www.tiktok.com/@Đỗ Thanh Diệp,"Sang chảnh quá đi",16-9-2024,0,No,---,0
139,"Phan Yến Tuyền","Phan Yến Tuyền",https://www.tiktok.com/@Phan Yến Tuyền,"Xinh đẹp quá ạ",26-7-2024,0,No,---,0
140,"Đặng Chấn Dạ","Đặng Chấn Dạ",https://www.tiktok.com/@Đặng Chấn Dạ,"Dáng quá yêu 💃",27-9-2024,0,No,---,0
141,"Ngô Tùng Nhã","Ngô Tùng Nhã",https://www.tiktok.com/@Ngô Tùng Nhã,"Em tui xs luôn chèn",27-2-2025,0,No,---,0
142,"MeiMei","MeiMei",https://www.tiktok.com/@MeiMei,"rẻ rùi em ơi, ai học y giờ chỉ có khóc thét :'(",6-7-2024,0,No,---,0
143,"Nguyễn Quang Hải","Nguyễn Quang Hải",https://www.tiktok.com/@Nguyễn Quang Hải,"4 năm của anh chưa bằng 1 năm của em nữa :)))",6-7-2024,0,No,---,0
144,"sg bạc","sg bạc",https://www.tiktok.com/@sg bạc,"định học NEU mà thấy vid này=)))",6-7-2024,0,No,---,0
145,"Mr Zino","Mr Zino",https://www.tiktok.com/@Mr Zino,"k53 xin chào kk",6-7-2024,0,No,---,0
146,"Nghẹo","Nghẹo",https://www.tiktok.com/@Nghẹo,"Lúc đầu cứ tưởng đh cao hay ngờ học cđ 1 kỳ 13tr/4 tháng 😭",6-7-2024,0,No,---,0
147,"Hưng.","Hưng.",https://www.tiktok.com/@Hưng.,"Hnhu a ngày càng deptrai lên thì lên phải 🤡=))",5-7-2024,0,No,---,0
148,"Nguyễn Mạnh Tuấn","Nguyễn Mạnh Tuấn",https://www.tiktok.com/@Nguyễn Mạnh Tuấn,"4 năm 64 tr rẻ nhỉ",5-7-2024,0,No,---,0
149,"El Nino","El Nino",https://www.tiktok.com/@El Nino,"em học UEH 3 kỳ 50 củ:))",5-7-2024,0,No,---,0
150,"Dương Ái Băng","Dương Ái Băng",https://www.tiktok.com/@Dương Ái Băng,"Xuất sắc qá bé ơi",5-7-2024,0,No,---,0
151,"Trần Tài Quốc","Trần Tài Quốc",https://www.tiktok.com/@Trần Tài Quốc,"Chị đẹp quá. Mãi yêu chị.",4-7-2024,0,No,---,0
152,"Hertha Zehlendorf","Hertha Zehlendorf",https://www.tiktok.com/@Hertha Zehlendorf,"Rẻ phết, hoá ra t bị lừa, cao đẳng fpt 2 năm 66tr",4-7-2024,0,No,---,0
153,"🌷","🌷",https://www.tiktok.com/@🌷,"Hk y 6 năm gần 800",4-7-2024,0,No,---,0
154,"lucy","lucy",https://www.tiktok.com/@lucy,"MKT bên TMU 4 năm 85 củ :))",4-7-2024,0,No,---,0
155,"Q","Q",https://www.tiktok.com/@Q,"em học tỉnh lẻ mà tín chỉ còn đắt hơn trên hn ảo vậy ta :(",3-7-2024,0,No,---,0
156,"Ơ chào vộii 💩","Ơ chào vộii 💩",https://www.tiktok.com/@Ơ chào vộii 💩,"E mới c3 học 3 năm hơn 100 củ 😅",3-7-2024,0,No,---,0
157,"Trịnh Minh","Trịnh Minh",https://www.tiktok.com/@Trịnh Minh,"Neu thế thì rẻ r",2-7-2024,0,No,---,0
158,"Aki baoBao","Aki baoBao",https://www.tiktok.com/@Aki baoBao,"Ủa s hồi 2019 mk tưởng hơn 500k / tín",2-7-2024,0,No,---,0
159,"Làm đủ thứ ở công ty","Làm đủ thứ ở công ty",https://www.tiktok.com/@Làm đủ thứ ở công ty,"K65 600k 1 tín, năm đầu hết 25tr ròi 🥲",2-7-2024,0,No,---,0
160,"Oh・my・Godツ","Oh・my・Godツ",https://www.tiktok.com/@Oh・my・Godツ,"rẻ vãi oz",2-7-2024,0,No,---,0
161,"tomato 🍅","tomato 🍅",https://www.tiktok.com/@tomato 🍅,"đang thiếu tiền học phí có nên nghỉ ko mn",2-7-2024,0,No,---,0
162,"(Jackie) 👾","(Jackie) 👾",https://www.tiktok.com/@(Jackie) 👾,"Em học IT, 1 năm 30tr",2-7-2024,0,No,---,0
163,"Đang tập lớn","Đang tập lớn",https://www.tiktok.com/@Đang tập lớn,"Ô rẻ v :)",2-7-2024,0,No,---,0
164,"Minh Quân","Minh Quân",https://www.tiktok.com/@Minh Quân,"Sao rẻ thế",2-7-2024,0,No,---,0
165,"HyFát","HyFát",https://www.tiktok.com/@HyFát,"Bay h gấp đôi r 😢",2-7-2024,0,No,---,0
166,"tlam","tlam",https://www.tiktok.com/@tlam,"rẻ",2-7-2024,0,No,---,0
167,"uoc j UET","uoc j UET",https://www.tiktok.com/@uoc j UET,"Chắc chắn là dsa",2-7-2024,0,No,---,0
168,"Nhân vật phụ","Nhân vật phụ",https://www.tiktok.com/@Nhân vật phụ,"Same🤡",2-7-2024,0,No,---,0
169,"Aki.","Aki.",https://www.tiktok.com/@Aki.,"hê lô anh 😍",2-7-2024,0,No,---,0
170,"ni.nhini💕","ni.nhini💕",https://www.tiktok.com/@ni.nhini💕,"rẻ",2-7-2024,0,No,---,0
171,"TranDuc^^","TranDuc^^",https://www.tiktok.com/@TranDuc^^,"người tim t2",2-7-2024,3,No,---,0
172,"Chanh Không Chua","Chanh Không Chua",https://www.tiktok.com/@Chanh Không Chua,"Gọng kính anh đẹp quá, cho em xin if vs ạ",8-7-2024,0,No,---,0
173,"am brt","am brt",https://www.tiktok.com/@am brt,"@Cười nhìu nhất Top Top ✨️🐬",27-8-2024,0,No,---,1
174,"Khong LiênLac ✨","Khong LiênLac ✨",https://www.tiktok.com/@Khong LiênLac ✨,"là ít gòi đó ní 🤦",27-8-2024,0,Yes,"am_brt25?lang=vi-VN",0
175,"lúc hài lúc haiz 💃","lúc hài lúc haiz 💃",https://www.tiktok.com/@lúc hài lúc haiz 💃,"@Trần Huyền Trâm",19-8-2024,1,No,---,1
176,"Tr✧m","Tr✧m",https://www.tiktok.com/@Tr✧m,"á há há",20-8-2024,1,Yes,"_30.01._?lang=vi-VN",0
177,"TK_Naim","TK_Naim",https://www.tiktok.com/@TK_Naim,"@heyaashi 1môn ngt bằng 1tín mình 🙂👌",9-8-2024,1,No,---,1
178,"heyaashi","heyaashi",https://www.tiktok.com/@heyaashi,"Sà",9-8-2024,0,Yes,"kyngoc_93?lang=vi-VN",0
179,"sắp học HCMUS","sắp học HCMUS",https://www.tiktok.com/@sắp học HCMUS,"@Kiều My động lực vô it ueh nè=))",19-7-2024,0,No,---,1
180,"xinh gái tinh quái","xinh gái tinh quái",https://www.tiktok.com/@xinh gái tinh quái,"ra đường ngta hỏi học trường gì rồi mới đến ngành gì khỏi lo ☠️",19-7-2024,1,Yes,"levii12_?lang=vi-VN",0
181,"thỏ","thỏ",https://www.tiktok.com/@thỏ,"@Saatoo rẻ hơn cả mình🤨",2-7-2024,0,No,---,1
182,"Saatoo","Saatoo",https://www.tiktok.com/@Saatoo,"=))",2-7-2024,0,Yes,"rabbbisocu?lang=vi-VN",0
183,"mtee...212","mtee...212",https://www.tiktok.com/@mtee...212,"@Tiên babee💞",25-7-2024,1,No,---,0
184,"Đỗ nv 1 đổi tên","Đỗ nv 1 đổi tên",https://www.tiktok.com/@Đỗ nv 1 đổi tên,"😁",21-10-2025,0,No,---,0
185,"#HunterXloli","#HunterXloli",https://www.tiktok.com/@#HunterXloli,"🤨",31-8-2025,0,No,---,0
186,"nguoi yeu em","nguoi yeu em",https://www.tiktok.com/@nguoi yeu em,"😁",25-7-2025,0,No,---,0
187,"Hết bịnh đổi tên ✨","Hết bịnh đổi tên ✨",https://www.tiktok.com/@Hết bịnh đổi tên ✨,"😂",9-3-2025,0,No,---,0
188,"l.","l.",https://www.tiktok.com/@l.,"😅😅😅",8-12-2024,0,No,---,0
189,"Thái Thượng Lão Quân","Thái Thượng Lão Quân",https://www.tiktok.com/@Thái Thượng Lão Quân,"🥰🥰🥰",21-8-2024,0,No,---,0
190,"Keith","Keith",https://www.tiktok.com/@Keith,"😳😳😳",19-8-2024,0,No,---,0
191,"☁️","☁️",https://www.tiktok.com/@☁️,"@🍂 NEU rẻ hơn mình 2 tọc 🥲",10-8-2024,0,No,---,0
192,"👰vợ jungkook🤵","👰vợ jungkook🤵",https://www.tiktok.com/@👰vợ jungkook🤵,"@Nguyệt",8-8-2024,0,No,---,0
193,"Phuongbeo","Phuongbeo",https://www.tiktok.com/@Phuongbeo,"🥰@đẹp rai có rì sai ?? Đắt hơn neu luôn mà",6-8-2024,0,No,---,0
194,"NguyenHung","NguyenHung",https://www.tiktok.com/@NguyenHung,"😂😂😂",16-7-2024,0,No,---,0
195,"Vợ iu Trần Thuật","Vợ iu Trần Thuật",https://www.tiktok.com/@Vợ iu Trần Thuật,"@Tháo niềng thì đổi tên 💫💫 lý do ko dc hok🥰",7-7-2024,0,No,---,0
196,"dactroen","dactroen",https://www.tiktok.com/@dactroen,"🥰",2-7-2024,0,No,---,0
197,"celi.ne","celi.ne",https://www.tiktok.com/@celi.ne,"@nhilz18",2-7-2024,0,No,---,0
198,"Trần Chí Bảo","Trần Chí Bảo",https://www.tiktok.com/@Trần Chí Bảo,"🥺",2-7-2024,0,No,---,0
199,"khongbuondauhi","khongbuondauhi",https://www.tiktok.com/@khongbuondauhi,"@ㅤ",7-7-2024,0,No,---,1
200,"🫀","🫀",https://www.tiktok.com/@🫀,"ủa rẻ bèo v",7-7-2024,1,Yes,"khongbuondauhi?lang=vi-VN",0
201,"...!","...!",https://www.tiktok.com/@...!,"có ac nào đang học ở NEU ngành mar bây h có thể cho em biết học phí bây h đang bao nhiêu dc k ạ",4-7-2024,1,No,---,0
202,"Hồ Quỳnh Chi","Hồ Quỳnh Chi",https://www.tiktok.com/@Hồ Quỳnh Chi,"Trắng thế, k có nốt muỗi đốt luôn",18-10-2024,0,No,---,0
203,"Nguyễn Hoài Băng","Nguyễn Hoài Băng",https://www.tiktok.com/@Nguyễn Hoài Băng,"Trắng trong veo lun xinh quá nè cô gái ơi",12-8-2024,0,No,---,0
204,"La Bị Ghẻ","La Bị Ghẻ",https://www.tiktok.com/@La Bị Ghẻ,"Ý là ac nào học ở trường rồi thì cho em hỏi là👉🏻👈🏻 ở trg có căn tin hong ạ, vs căn tin đồ ăn ngon hong ạ😳",10-8-2024,0,No,---,0
205,"Đỗ Hạc Phong","Đỗ Hạc Phong",https://www.tiktok.com/@Đỗ Hạc Phong,"Xs quá c",12-7-2024,0,No,---,0
206,"zoey.hoang","zoey.hoang",https://www.tiktok.com/@zoey.hoang,"mình share khoá toeic cô MP với PREP nhee😳",7-7-2024,0,No,---,0
207,"blue&jellyfish","blue&jellyfish",https://www.tiktok.com/@blue&jellyfish,"35/1năm e thấy đã quá đắt r bạn e nó bảo 80/1năm là thường ròi ;)))",2-7-2024,0,No,---,0
208,"Cục xanh","Cục xanh",https://www.tiktok.com/@Cục xanh,"bk học 3 tín đóng tiền 4 tín🙃",2-7-2024,0,No,---,0
209,"Lệ Phi Vũ","Lệ Phi Vũ",https://www.tiktok.com/@Lệ Phi Vũ,"Tui uef",2-7-2024,0,No,---,0
210,"Lê Quyền Linh🇻🇳","Lê Quyền Linh🇻🇳",https://www.tiktok.com/@Lê Quyền Linh🇻🇳,"anh ơi bên neu họ dạy it có ổn k ạ , em 2k6 cũng đang xem xét:)",2-7-2024,0,No,---,2
211,"Hoangglee","Hoangglee",https://www.tiktok.com/@Hoangglee,"Còn lại muốn chuyên mảng gì, mình nên tự tìm hiểu vì ở trên mạng nhiều tài liệu lắm.",2-7-2024,1,Yes,"quyenlinh066?lang=vi-VN",0
212,"Hoangglee","Hoangglee",https://www.tiktok.com/@Hoangglee,"A thấy ngành này chủ yếu là tự học ý, trong trường thầy cô cũng dạy căn bản các nền tảng ngôn ngữ và công cụ",2-7-2024,1,Yes,"quyenlinh066?lang=vi-VN",0
213,"Selina","Selina",https://www.tiktok.com/@Selina,"Ở rmit lạch tray 1củ 5 tín 🤡",18-8-2024,1,No,---,0
214,"Deve.l","Deve.l",https://www.tiktok.com/@Deve.l,"@_.ngnhataw",24-7-2024,1,No,---,0
215,"Nguyễn Khôi Dang","Nguyễn Khôi Dang",https://www.tiktok.com/@Nguyễn Khôi Dang,"Nữ thần mong manh",27-9-2024,0,No,---,0
216,"Dương Ái Băng","Dương Ái Băng",https://www.tiktok.com/@Dương Ái Băng,"Cho em bám càng chụp ảnh vs chị",14-9-2024,0,No,---,0
217,"Lý Thái Diệu","Lý Thái Diệu",https://www.tiktok.com/@Lý Thái Diệu,"Cho em bám càng chụp ảnh vs chị",31-7-2024,0,No,---,0
218,"Ghét ăn hành","Ghét ăn hành",https://www.tiktok.com/@Ghét ăn hành,"rẽvl",29-7-2024,0,No,---,0
219,"tarot có phí","tarot có phí",https://www.tiktok.com/@tarot có phí,"nhận xem tarot",22-7-2024,0,No,---,0
220,"uha.engyu_","uha.engyu_",https://www.tiktok.com/@uha.engyu_,"ôi bằng năm 2 của iemmmmm 🥲",4-7-2024,0,No,---,0
221,"Khắc chế nem chua rán 🐧","Khắc chế nem chua rán 🐧",https://www.tiktok.com/@Khắc chế nem chua rán 🐧,"Rẻ aoiw :(",4-7-2024,0,No,---,0
222,"Huy cuon","Huy cuon",https://www.tiktok.com/@Huy cuon,"FpT xem xong chỉ biết ghen tị",2-7-2024,0,No,---,0
