Thời gian cào:    Fri Nov 07 2025 14:09:34 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@hoanggleee/video/7386865350735875344
Người đăng:          Hoangglee
Tag người đăng:      @hoanggleee
URL người đăng:      https://www.tiktok.com/@hoanggleee
Thời gian đăng:      2-7-2024
Số lượt tym:         26.5K
Số lượt comment:     317
Số lượt lưu:         499
Số lượt share:       N/A
Mô tả của bài đăng:  "Học phí ở NEU đắt không? #fyp #xuhuong #learnontiktok #hoccungtiktok #daihoc #neu. ẩn bớt"
Số bình luận cấp 1:  199
Số bình luận cấp 2:  23
Tổng số bình luận thực tế đã load:  222
Số bình luận TikTok hiển thị:       317
Chênh lệch số bình luận:            95
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
31,"Mei ✿","Mei ✿",https://www.tiktok.com/@Mei ✿,"lên 850 ròi 🥺🥺",10-8-2024,0,Yes,"dau.2.5?lang=vi-VN",0
32,"Dậu2.5","Dậu2.5",https://www.tiktok.com/@Dậu2.5,"800k còn d24 880k",10-8-2024,0,Yes,"dau.2.5?lang=vi-VN",0
33,"thích ăn kem🍦","thích ăn kem🍦",https://www.tiktok.com/@thích ăn kem🍦,"anh thấy học IT ở neu thế nào ạaaaa",2-7-2024,10,No,---,7
34,"Tjung","Tjung",https://www.tiktok.com/@Tjung,"b nghe câu ""thà vào kỹ thuật học kinh tế còn hơn vào kinh tế học kỹ thuật"" chưa =))",3-7-2024,9,Yes,"cx30120?lang=vi-VN",0
35,"Khi nào còn 53kg thì đổi tên","Khi nào còn 53kg thì đổi tên",https://www.tiktok.com/@Khi nào còn 53kg thì đổi tên,"Tin chuẩn ko ạ",2-7-2024,0,Yes,"cx30120?lang=vi-VN",0
36,"Tiến Long Trịnh","Tiến Long Trịnh",https://www.tiktok.com/@Tiến Long Trịnh,"Chuẩn",2-7-2024,0,Yes,"cx30120?lang=vi-VN",0
37,"Khi nào còn 53kg thì đổi tên","Khi nào còn 53kg thì đổi tên",https://www.tiktok.com/@Khi nào còn 53kg thì đổi tên,"Xếp hạng giúp em trg it ở hn em với ạ🥰",2-7-2024,0,Yes,"cx30120?lang=vi-VN",0
38,"Tiến Long Trịnh","Tiến Long Trịnh",https://www.tiktok.com/@Tiến Long Trịnh,"Theo a thì đh công nghệ, bk, ptit, còn lại thì ngang nhau ưu tiên bên kỹ thuật hơn rồi đến kinh tế",2-7-2024,1,Yes,"cx30120?lang=vi-VN",0
39,"Khi nào còn 53kg thì đổi tên","Khi nào còn 53kg thì đổi tên",https://www.tiktok.com/@Khi nào còn 53kg thì đổi tên,"Bk chắc tốt nhất anh nhể",2-7-2024,0,Yes,"cx30120?lang=vi-VN",0
40,"😁","😁",https://www.tiktok.com/@😁,"uet hơn bk nhé😏",2-7-2024,1,Yes,"cx30120?lang=vi-VN",0
41,"Nin","Nin",https://www.tiktok.com/@Nin,"a thi năm 2018 ạ",2-7-2024,0,No,---,3
42,"Hoangglee","Hoangglee",https://www.tiktok.com/@Hoangglee,"a thi 2019 nha",2-7-2024,0,Yes,"trananhton123?lang=vi-VN",0
43,"Nin","Nin",https://www.tiktok.com/@Nin,"năm đó đề cũng khó đk ạ. với 24.95đ đỗ Neu rồi",2-7-2024,0,Yes,"trananhton123?lang=vi-VN",0
44,"Tuấn Anh","Tuấn Anh",https://www.tiktok.com/@Tuấn Anh,"Đr 2019 cx khó , bây giờ lạm phát rồi. 2 con 9 1 con 8,5 có vẻ khả thi",3-7-2024,0,Yes,"trananhton123?lang=vi-VN",0
45,"Kitty bận học","Kitty bận học",https://www.tiktok.com/@Kitty bận học,"T vừa đăng ký học ktoan ở neu hệ từ xa. 600/tín",17-7-2024,0,No,---,0
46,"Đẹp trai mỗi tội xấu😵‍💫","Đẹp trai mỗi tội xấu😵‍💫",https://www.tiktok.com/@Đẹp trai mỗi tội xấu😵‍💫,"Học it ở trường kte ổn ko anh ơi :)))kiểu đào tạo nó khác gì k í",2-7-2024,4,No,---,1
47,"superficially","superficially",https://www.tiktok.com/@superficially,"đào tạo thiên về kinh tế phải học mấy môn về kinh tế 😂",3-7-2024,0,Yes,"lctrnh04?lang=vi-VN",0
48,"memes","memes",https://www.tiktok.com/@memes,"ictu thái nguyên 530k 1 tín 😳😳",12-8-2024,2,No,---,2
49,"hoàng tử 35","hoàng tử 35",https://www.tiktok.com/@hoàng tử 35,"rẻ chán b ơi, uet vnu 851k/ tín đấy",12-8-2024,0,Yes,"memess10_?lang=vi-VN",0
50,"memes","memes",https://www.tiktok.com/@memes,"nhưng khổ đây là trường Thái hong phải Hà nội nó mới cay bạn ạ",12-8-2024,0,Yes,"memess10_?lang=vi-VN",0
51,"HaoNguyen05","HaoNguyen05",https://www.tiktok.com/@HaoNguyen05,"e thấy trong ảnh kia chỉ là học phí 1 năm từ 2019-2020 là 63 củ r ạ",4-7-2024,0,No,---,1
52,"HaoNguyen05","HaoNguyen05",https://www.tiktok.com/@HaoNguyen05,"e thì học kinh tế ở trường chuyên kĩ thuật:))",5-7-2024,0,Yes,"haowang_510?lang=vi-VN",0
53,"compa🦧","compa🦧",https://www.tiktok.com/@compa🦧,"Em cũng định học it ở neu:)))",16-8-2024,0,No,---,0
54,"HoagOwO","HoagOwO",https://www.tiktok.com/@HoagOwO,"Sao xây dựng năm nhất 325k, năm 2 lên 411k, năm 3 lên 465k năm 4 sắp tới lên 500 mấy á =))",9-7-2024,0,No,---,0
55,"Phúc ước đỗ LCH🫡💚","Phúc ước đỗ LCH🫡💚",https://www.tiktok.com/@Phúc ước đỗ LCH🫡💚,"rẻ a ơi😅 FPT bình quân cứ 120tr 1 năm 🥵",3-7-2024,1,No,---,5
